column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13
,,Pension Benefits,,,Other Benefits,,,,,,,
,,"As of December 31,",,,"As of December 31,",,,,,,,
,,2005,,,2004,,,2005,,,2004,
Weighted-average assumptions used in measuring the Company’s benefit obligation:,,,,,,,,,,,,
Discount rate,,5.75,%,,5.75,%,,5.75,%,,5.75,%
Rate of compensation increase,,4.00,%,,4.00,%,,4.00,%,,4.00,%
