column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11
Period,,(a) TotalNumberof SharesPurchased,,,(b) AveragePrice PaidPer Share,,(c) Total Number ofShares Purchased asPart of PubliclyAnnounced Plans orPrograms,,(d) Maximum Number (orApproximate Dollar Value) ofShares that may yet bePurchased under the Plans orPrograms,
"October 1, 2005 through October 31, 2005",,—,,,,—,,—,,N/A
"November 1, 2005 through November 30, 2005",,—,,,,—,,—,,N/A
"December 1, 2005 through December 31, 2005",,"2,621",(1),,$,51.33,,—,,N/A
