column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8
,,One-percentage- point Increase,,One-percentage- point Decrease,,,
Effect on total of service and interest cost components of net periodic postretirement health care benefit cost,,$,2,,$,(1,)
Effect on the health care component of the accumulated postretirement benefit obligation,,$,14,,$,(11,)
