column_1,column_2,column_3,column_4,column_5,column_6,column_7
,,"At December 31,",,,,
,,2005,,2004,,
In-process,,$,73,,$,58
Concentrate,,,3,,,3
Precious metals,,,5,,,6
"Materials, supplies and other",,,239,,,177
,,$,320,,$,244
