column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24
,,Expected Maturity Date or Transaction Date,,"Fair Value December 31, 2003",,,,,,,,,,,,,,,,,,,
Diesel Forward Contracts:,,2004,,2005,,2006,,2007,,2008,,Thereafter,,Total/Average,,,,,,,,,
(U.S.$ Denominated),,,,,,,,,,,,,,,,(in thousands of U.S.$),,,,,,,
Barrels (‘000),,,120,,,40,,,—,,,—,,,—,,,—,,,160,,637
Average price,,$,28.1,,$,27.2,,$,—,,$,—,,$,—,,$,—,,$,27.9,,
