column_1,column_2,column_3,column_4,column_5
,,"Year EndedDecember 31, 2003",,
(Decrease) increase to net income (loss),,,,
Production costs,,$,"1,392",
"Depreciation, depletion, and amortization",,,"(5,045",)
Income tax benefit,,,"1,279",
Net decrease in income (loss) before cumulative effect of a change in accounting principle,,$,"(2,374",)
