column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8
,,2005 vs. 2004,,,2004 vs. 2003,,
Changes in consolidated pounds sold,,$,(146,),,$,—
Consolidation of Batu Hijau,,,—,,,,786
Change in average realized copper price,,,72,,,,—
Change in treatment and refining charges,,,(40,),,,—
,,$,(114,),,$,786
