column_1,column_2,column_3,column_4
,,"At December 31, 2003",
,,(in thousands U.S.$),
Associated metals sale receivables,,,
"Sumitomo Metal Mining Co., Ltd.",,$,"4,079"
Mitsubishi Materials Corporation,,,"7,276"
"Furukawa Co., Ltd.",,,"6,085"
,,$,"17,440"
