column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19
,,Pension Benefits,,,Other Benefits,,,,,,,,,,,,,
,,"Years Ended December 31,",,,"Years Ended December 31,",,,,,,,,,,,,,
,,2005,,,2004,,,2003,,,2005,,,2004,,,2003,
Weighted-average assumptions used in measuring the net periodic pension benefit cost:,,,,,,,,,,,,,,,,,,
Discount long-term rate,,5.75,%,,6.25,%,,6.75,%,,5.75,%,,6.25,%,,6.75,%
Expected return on plan assets,,8.00,%,,8.00,%,,8.00,%,,N/A,,,N/A,,,N/A,
Rate of compensation increase,,4.00,%,,4.00,%,,4.00,%,,4.00,%,,4.00,%,,4.00,%
