column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10
,,"Years Ended December 31,",,,,,,,
,,2005,,2004,,2003,,,
"Sales—gold, net",,$,"3,734",,$,"3,625",,$,"3,059"
"Sales—copper, net",,$,672,,$,786,,,N/A
Consolidated gold ounces sold,,,"8,552.0",,,"8,828.9",,,"8,377.4"
Consolidated copper pounds sold,,,572.7,,,683.3,,,N/A
Average price received(1),,,,,,,,,
Gold ($/oz),,$,441,,$,412,,$,365
Copper ($/lb),,$,1.45,,$,1.33,,,N/A
Costs applicable to sales(2),,,,,,,,,
Gold ($/oz),,$,236,,$,216,,$,195
Copper ($/lb),,$,0.53,,$,0.45,,,N/A
Income from continuing operations,,$,374,,$,453,,$,511
"Income from continuing operations per share, basic",,$,0.84,,$,1.02,,$,1.24
