column_1,column_2,column_3,column_4,column_5
"Balance January 1, 2004",,$,409,
Impact of Batu Hijau consolidation,,,47,
"Additions, change in estimates and other",,,35,
Liabilities settled,,,(45,)
Accretion expense,,,25,
"Balance December 31, 2004",,,471,
"Additions, change in estimates and other",,,65,
Liabilities settled,,,(47,)
Disposition of liability,,,(8,)
Accretion expense,,,27,
"Balance December 31, 2005",,$,508,
