column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25
,,Pension Benefits,,,Other Benefits,,,,,,,,,,,,,,,,,,,
,,2005,,,2004,,,2003,,,2005,,,2004,,,2003,,,,,,,
Service cost,,$,13,,,$,11,,,$,9,,,$,5,,,$,3,,,$,3,
Interest cost,,,19,,,,18,,,,17,,,,5,,,,4,,,,4,
Expected return on plan assets,,,(15,),,,(13,),,,(12,),,,—,,,,—,,,,—,
Amortization of prior service cost,,,1,,,,1,,,,1,,,,(1,),,,(1,),,,—,
Amortization of loss (gain),,,6,,,,4,,,,2,,,,—,,,,—,,,,(1,)
Settlements,,,4,,,,—,,,,—,,,,—,,,,—,,,,—,
,,$,28,,,$,21,,,$,17,,,$,9,,,$,6,,,$,6,
