column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11
,,"Years Ended December 31,",,,,,,,,
,,2005,,2004,,,2003,,,
Reclamation and remediation,,$,37,,$,(11,),,$,33
Minahasa environmental and “goodwill agreement” (Note 32),,,56,,,7,,,,—
Nevada waste dump slide,,,6,,,—,,,,—
Other,,,12,,,37,,,,17
,,$,111,,$,33,,,$,50
