column_1,column_2,column_3,column_4
,,"Year EndedDecember 31, 2003",
,,(in thousands U.S.$),
Concentrate sales,,,
"Sumitomo Metal Mining Co., Ltd.",,$,"31,890"
Mitsubishi Materials Corporation,,,"55,265"
"Furukawa Co., Ltd.",,,"20,791"
,,$,"107,946"
