column_1,column_2,column_3,column_4,column_5
ITEM 7A.,,QUANTITATIVE AND QUALITATIVE DISCLOSURES ABOUT MARKET RISK,,77
,,Metal Price,,77
,,Foreign Currency,,77
,,Hedging,,77
,,Fixed and Variable Rate Debt,,79
,,Pension and Other Benefit Plans,,80
ITEM 8.,,FINANCIAL STATEMENTS AND SUPPLEMENTARY DATA,,81
ITEM 9.,,CHANGES IN AND DISAGREEMENTS WITH ACCOUNTANTS ON ACCOUNTING AND FINANCIAL DISCLOSURE,,161
ITEM 9A.,,CONTROLS AND PROCEDURES,,161
ITEM 9B.,,OTHER INFORMATION,,161
PART III,,,,
ITEM 10.,,DIRECTORS AND EXECUTIVE OFFICERS OF THE REGISTRANT,,162
ITEM 11.,,EXECUTIVE COMPENSATION,,162
ITEM 12.,,SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT AND RELATED STOCKHOLDER MATTERS,,162
ITEM 13.,,CERTAIN RELATIONSHIPS AND RELATED TRANSACTIONS,,163
ITEM 14.,,PRINCIPAL ACCOUNTANT FEES AND SERVICES,,163
PART IV,,,,
ITEM 15.,,EXHIBITS AND FINANCIAL STATEMENT SCHEDULES,,164
NUSA TENGGARA PARTNERSHIP V.O.F. CONSOLIDATED FINANCIAL STATEMENTS,,NT-1,,
SIGNATURES,,S-1,,
EXHIBIT INDEX,,E-1,,
