column_1,column_2,column_3,column_4
"Year Ended December 31, 2003",,,
"Copper revenues, net of treatment and refining costs",,$,425
"Gold revenues, net of treatment and refining costs",,$,206
Gross profit(1),,$,230
Income before cumulative effect of a change in accounting principle,,$,115
Net income,,$,101
