column_1,column_2,column_3,column_4,column_5,column_6,column_7
,,"At December 31,",,,,
,,2005,,2004,,
Total debt,,$,"1,929",,$,"1,602"
Total stockholders’ equity,,$,"8,376",,$,"7,938"
Cash and cash equivalents,,$,"1,082",,$,781
