column_1,column_2,column_3,column_4,column_5,column_6,column_7
,,"Years Ended December 31,",,,,
,,2005,,,2004,
Average final price adjustments,,,,,,
Copper,,12.1,%,,13.8,%
Gold,,1.4,%,,0.9,%
