column_1,column_2,column_3,column_4,column_5
,,"At December 31, 2003",,
,,(in thousands of U.S.$),,
Intangible mineral interests,,$,"219,508",
Accumulated amortization,,,"(43,159",)
Intangible mineral interests—net,,$,"176,349",
