column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25
,,Gold Ounces orCopper Pounds Sold,,Costs Applicable to Sales(1),,"Depreciation, Depletionand Amortization",,,,,,,,,,,,,,,,,,
,,2005,,2004,,2003,,2005,,2004,,2003,,2005,,2004,,2003,,,,,,
,,(ounces in thousands),,($ per ounce),,($ per ounce),,,,,,,,,,,,,,,,,,
Gold,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,,"2,444.1",,"2,538.0",,"2,490.8",,$,333,,$,282,,$,240,,$,51,,$,50,,$,55
Yanacocha(2) (51.35% owned),,"3,327.5",,"3,039.9",,"2,858.7",,,147,,,142,,,127,,,62,,,65,,,56
Australia/New Zealand,,"1,600.5",,"1,887.6",,"2,016.7",,,317,,,280,,,239,,,74,,,67,,,61
Batu Hijau(2)(3)(4),,720.5,,715.2,,—,,,152,,,128,,,—,,,47,,,39,,,—
Other(2),,459.4,,648.2,,"1,011.2",,,229,,,220,,,189,,,63,,,73,,,67
Total/Weighted-Average,,"8,552.0",,"8,828.9",,"8,377.4",,$,236,,$,216,,$,195,,$,60,,$,60,,$,58
,,(pounds in millions),,($ per pound),,($ per pound),,,,,,,,,,,,,,,,,,
Copper,,,,,,,,,,,,,,,,,,,,,,,,
Batu Hijau(2)(3)(4),,572.7,,683.3,,N/A,,$,0.53,,$,0.45,,$,N/A,,$,0.15,,$,0.13,,$,N/A
