column_1,column_2,column_3,column_4,column_5
,,"Year EndedDecember 31, 2003",,
,,(in thousands of U.S.$),,
Opening balance,,$,"66,748",
Amortization,,,"(9,857",)
Additions,,,"13,014",
Closing balance,,$,"69,905",
