column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10
,,"Years EndedDecember 31,",,,,,,,
,,2005,,2004,,2003,,,
"Income taxes, net of refunds",,$,296,,$,278,,$,194
"Interest, net of amounts capitalized",,$,84,,$,92,,$,123
Non-cash settlement of prepaid forward sales obligation,,$,48,,$,—,,$,—
Non-cash extinguishment of infrastructure bonds,,$,—,,$,124,,$,—
