column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19
,,2005,,2004,,,,,,,,,,,,,,
,,PBO,,ABO,,Market valueof plan assets,,PBO,,ABO,,Market valueof plan assets,,,,,,
Qualified plan—salaried employees,,$,309,,$,266,,$,197,,$,268,,$,231,,$,187
Non-qualified plan—salaried employees,,,45,,,42,,,—,,,30,,,27,,,—
Qualified plan—hourly employees,,,40,,,39,,,26,,,33,,,33,,,23
Non-qualified plan—international,,,7,,,6,,,—,,,5,,,4,,,—
Qualified and non-qualified plans—Canadian,,,1,,,1,,,4,,,1,,,1,,,7
,,$,402,,$,354,,$,227,,$,337,,$,296,,$,217
