column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10
Total additions,,9.4,,,12.4,,,15.1,
Previously valued in purchase accounting,,(1.2,),,(1.9,),,(6.5,)
Reclassifications(3),,—,,,(2.0,),,—,
,,8.2,,,8.5,,,8.6,
