column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13
,,"Batu Hijau, Indonesia(1)",,,,,,,,,,
"Year Ended December 31,",,2005,,,2004,,,2003(2),,,,
Tons milled/processed (thousands),,,"50,210",,,,"54,243",,,,"49,819",
Average copper grade,,,0.69,%,,,0.75,%,,,0.72,%
Average copper recovery rate,,,86.7,%,,,87.8,%,,,88.6,%
Copper pounds produced (millions),,,596.0,,,,716.9,,,,634.1,
Copper pounds sold (millions),,,572.7,,,,683.3,,,,N/A,
Costs applicable to sales per pound,,$,0.53,,,$,0.45,,,$,N/A,
Total production cost per pound,,$,0.68,,,$,0.58,,,$,N/A,
