column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9
,,"Years Ended December 31,",,,,,,
,,2005,,,2004,,,
Current deferred income tax assets,,$,159,,,$,173,
Long-term deferred income tax assets,,,519,,,,492,
Current deferred income tax liabilities,,,(5,),,,(10,)
Long-term deferred income tax liabilities,,,(467,),,,(476,)
,,$,206,,,$,179,
