column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13
,,"Years EndedDecember 31,",,,,,,,,,,
,,2005,,,2004,,,2003,,,,
Opening balance,,$,19,,,$,90,,,$,55,
Consolidation of Batu Hijau,,,—,,,,(67,),,,—,
Disposition of Ovacik,,,(4,),,,—,,,,—,
Additions,,,160,,,,148,,,,166,
Amortization,,,(104,),,,(152,),,,(131,)
Closing balance,,$,71,,,$,19,,,$,90,
