column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23
,,,,"At December 31, 2005",,"At December 31, 2004",,,,,,,,,,,,,,,,
,,DepreciableLife,,Cost,,AccumulatedDepreciation and Depletion,,,Net BookValue,,Cost,,AccumulatedDepreciation and Depletion,,,Net BookValue,,,,,,
,,(in years),,,,,,,,,,,,,,,,,,,,
Land,,—,,$,82,,$,—,,,$,82,,$,80,,$,—,,,$,80
Buildings and equipment,,1–25,,,"6,606",,,"(3,791",),,,"2,815",,,"6,325",,,"(3,381",),,,"2,944"
Mine development,,1–20,,,"1,740",,,(916,),,,824,,,"1,456",,,(852,),,,604
Mineral interests,,1–25,,,"1,474",,,(560,),,,914,,,"1,581",,,(496,),,,"1,085"
Asset retirement cost,,1–25,,,213,,,(121,),,,92,,,190,,,(111,),,,79
Construction-in-progress,,—,,,918,,,—,,,,918,,,344,,,—,,,,344
,,,,$,"11,033",,$,"(5,388",),,$,"5,645",,$,"9,976",,$,"(4,840",),,$,"5,136"
"Leased assets included above in property, plant and mine development",,2–10,,$,387,,$,(231,),,$,156,,$,357,,$,(189,),,$,168
