column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19
,,Expected Maturity Date or Transaction Date,,"Fair Value December 31, 2003",,,,,,,,,,,,,,
Rupiah Forward Contracts:,,2004,,2005,,2006,,2007,,2008,,Thereafter,,Total/Average,,,,
(U.S.$ Denominated),,,,,,,,,,,,,,,,(in thousands U.S.$),,
U.S.$ (in millions),,$,7.7,,—,,—,,—,,—,,—,,$,7.7,,—
Average price (Rp),,,"9,024",,—,,—,,—,,—,,—,,,"9,024",,
