column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9
,,"Years Ended December 31,",,,,,,
,,2005,,,2004,,,
United States,,$,479,,,$,454,
Foreign,,,(273,),,,(275,)
,,$,206,,,$,179,
