column_1,column_2,column_3,column_4
,,"At December 31, 2003",
,,(in thousands of U.S.$),
Current:,,,
Stockpiles and ore at crusher,,$,"1,967"
Concentrate inventory,,,228
Materials and supplies,,,"82,757"
Total current stockpiles and inventories,,$,"84,952"
Non-Current:,,,
Stockpiles,,$,"287,220"
