column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13
,,Years EndedDecember 31,,,,,,,,,,
,,2005,,,2004,,,2003,,,,
"Sales—gold, net",,$,30,,,$,28,,,$,24,
"Sales—base metals, net",,,38,,,,85,,,,75,
,,$,68,,,$,113,,,$,99,
Loss from operations,,$,(32,),,$,(12,),,$,(5,)
Loss from impairment,,,(42,),,,—,,,,—,
Gain on sale of operation,,,6,,,,—,,,,—,
Pre-tax loss,,,(68,),,,(12,),,,(5,)
Income tax benefit,,,16,,,,49,,,,5,
(Loss) income from discontinued operations,,$,(52,),,$,37,,,$,—,
