column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10
,,"Years Ended December 31,",,,,,,,
,,2005,,2004,,2003,,,
Europe,,$,"3,486",,$,"3,684",,$,"2,911"
India,,,277,,,22,,,—
Japan,,,267,,,312,,,—
Korea,,,172,,,168,,,—
United States,,,—,,,97,,,5
Other,,,204,,,128,,,143
,,$,"4,406",,$,"4,411",,$,"3,059"
