column_1,column_2,column_3,column_4,column_5,column_6,column_7
,,"At December 31,",,,,
,,2005,,2004,,
Long-term:,,,,,,
Employee pension benefits,,$,96,,$,72
Other post-retirement benefit plans,,,94,,,88
Workers’ participation,,,19,,,23
Accrued severance,,,27,,,26
Other employee-related payables,,,37,,,35
,,$,273,,$,244
