column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10
,,"Years Ended December 31,",,,,,,,
,,2005,,,2004,,2003,,
United States,,$,(68,),,$,183,,$287
Foreign,,,"1,132",,,,928,,644
,,$,"1,064",,,$,"1,111",,$931
