column_1,column_2,column_3,column_4,column_5,column_6,column_7
"Tax year ended December 31,",,Year ofexpiration,,Amount,,
,,(in millions of U.S.$),,,,
2000,,2008,,$,451.1,
2001,,2009,,,274.5,
2002,,2010,,,108.6,
2003,,N/A,,,(121.2,)
Net operating fiscal loss carry-forward,,,,$,713.0,
