column_1,column_2,column_3,column_4,column_5
,,,,Page
PART I,,,,
ITEM 1.,,BUSINESS,,1
,,Introduction,,1
,,"Segment Information, Export Sales, etc.",,1
,,Products,,2
,,Hedging Activities,,3
,,Merchant Banking,,3
,,Exploration,,4
,,Licenses and Concessions,,6
,,Condition of Physical Assets and Insurance,,6
,,Environmental Matters,,6
,,Employees,,7
,,Forward-Looking Statements,,7
,,Available Information,,8
ITEM 1A.,,RISK FACTORS,,8
,,Risks Related to the Mining Industry Generally,,8
,,Risks Related to Newmont Operations,,10
ITEM 2.,,PROPERTIES,,16
,,Gold and Copper Processing Methods,,16
,,Newmont Properties,,17
,,Production Properties,,17
,,Operating Statistics,,23
,,Royalty Properties,,25
,,Investment Interests,,26
,,Proven and Probable Reserves,,26
ITEM 3.,,LEGAL PROCEEDINGS,,32
ITEM 4.,,SUBMISSION OF MATTERS TO A VOTE OF SECURITY HOLDERS,,32
ITEM 4A.,,EXECUTIVE OFFICERS OF THE REGISTRANT,,32
PART II,,,,
ITEM 5.,,"MARKET FOR REGISTRANT’S COMMON EQUITY, RELATED STOCKHOLDER MATTERS AND ISSUER PURCHASE OF EQUITY SECURITIES",,35
ITEM 6.,,SELECTED FINANCIAL DATA,,36
ITEM 7.,,MANAGEMENT’S DISCUSSION AND ANALYSIS OF CONSOLIDATED FINANCIAL CONDITION AND RESULTS OF OPERATIONS,,37
,,Overview,,37
,,Accounting Changes,,39
,,Critical Accounting Policies,,40
,,Consolidated Financial Results,,47
,,Results of Consolidated Operations,,58
,,Recent Accounting Pronouncements,,67
,,Liquidity and Capital Resources,,68
,,Environmental,,76
,,Forward-Looking Statements,,76
