column_1,column_2,column_3,column_4,column_5,column_6,column_7
,,Target,,,"Actual atDecember 31,2005",
Asset Allocation,,,,,,
U.S. equity investments,,45,%,,44,%
International equity investments,,20,%,,22,%
Fixed income investments,,35,%,,34,%
