column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9
,,2005 vs.2004,,,2004 vs.2003,,,
Changes in consolidated ounces sold,,$,(123,),,$,(96,)
Consolidation of Batu Hijau,,,—,,,,288,
Change in average realized gold price,,,247,,,,380,
Change in treatment and refining charges,,,(15,),,,(6,)
,,$,109,,,$,566,
