column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12
,,"Years Ended December 31,",,,,,,,,,
,,2005,,2004,,,2003,,,,
"Royalty and dividend income, net",,$,79,,$,64,,,$,56,
Interest income,,,59,,,23,,,,11,
"Gain on sale of other assets, net",,,48,,,28,,,,15,
"Gain (loss) on investments, net",,,54,,,(39,),,,83,
"Gain on derivative investments, net",,,2,,,2,,,,23,
Foreign currency exchange gains,,,8,,,7,,,,97,
Gain (loss) on QMC debt guarantee,,,9,,,11,,,,(30,)
"Gain on extinguishment of NYOL liabilities, net",,,—,,,—,,,,221,
Loss on extinguishment of debt,,,—,,,—,,,,(34,)
Other,,,10,,,6,,,,9,
,,$,269,,$,102,,,$,451,
