column_1,column_2,column_3,column_4
,,Contained Ounces,
,,(in millions),
"December 31, 2004",,92.4,
Depletion(1),,(8.3,)
Divestments(2),,(0.3,)
Revisions and Additions,,9.4,
"December 31, 2005",,93.2,
