column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10
Plan Category,,"Number of Securities to beissued upon exercise
ofoutstanding options,warrants and rights (a)(1)",,,"Weighted-averageexercise price ofoutstanding options,warrants and rights(b)",,Number of securitiesremaining available forfuture issuance under equitycompensation plans (excluding securitiesreflected in column (a)) (c),,
Equity compensation plans approved by security holders(2),,"7,885,782",(3),,$,36.28,,"18,963,560",(4)
Equity compensation plans not approved by security holders,,"1,314,068",(5),,$,23.21,,-0-,
TOTAL,,"9,199,850",,,$,32.76,,"18,963,560",
