column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8
,,"Year ended
December 31, 2009",,"Year ended
December 31, 2008",,,
Tons mined
(000’s),,"76,305",,"75,499",,,
Tons of ore
processed (000’s),,"47,342",,"42,481",,,
Average grade
processed (% of TCu),,0.55,,0.57,,,
"Pounds of
copper produced (000,000’s)",,302,,295,,,
Average total
cash costs per pound (1),,$,1.17,,$,1.08,
