column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10
Gold,,Mineral Reserves,,Processed in,,Increase,,Mineral Reserves,
Property (000’s of ounces) (9),,12/31/2008 (6),,2009,,(decrease),,12/31/2009 (4),
NORTH AMERICA,,,,,,,,,
Goldstrike
Open Pit,,"10,294",,"1,150",,152,,"9,296",
Goldstrike
Underground,,"2,545",,470,,785,,"2,860",
Goldstrike
Property Total,,"12,839",,"1,620",,937,,"12,156",
Pueblo
Viejo (60%),,"13,440",,0,,804,,"14,244",
Cortez,,"13,384",,612,,"1,328",,"14,100",
Bald
Mountain,,"2,846",,127,,"1,770",,"4,489",
Turquoise
Ridge (75%),,"3,985",,155,,242,,"4,072",
Round
Mountain (50%),,"1,621",,268,,113,,"1,466",
South
Arturo,,0,,0,,"1,350",,"1,350",
Ruby
Hill,,831,,126,,-3,,702,
Hemlo
(12),,564,,278,,"1,039",,"1,325",
Marigold
(33%),,511,,83,,379,,807,
Golden
Sunlight,,540,,35,,3,,508,
Donlin
Creek (50%),,0,,0,,0,,0,
SOUTH AMERICA,,,,,,,,,
"Cerro
Casale (50%) (7), (13)",,"10,831",,0,,754,,"11,585",
Pascua-Lama,,"17,806",,0,,33,,"17,839",
Veladero,,"12,233",,"1,063",,838,,"12,008",
Lagunas
Norte,,"8,949",,"1,226",,-222,,"7,501",
Pierina,,683,,265,,230,,648,
AUSTRALIA PACIFIC,,,,,,,,,
Porgera
(95%),,"7,828",,623,,478,,"7,683",
Kalgoorlie
(50%),,"4,360",,397,,242,,"4,205",
Cowal,,"2,795",,298,,200,,"2,697",
Plutonic,,"1,042",,161,,-110,,771,
Kanowna,,"1,256",,315,,292,,"1,233",
Darlot,,557,,128,,15,,444,
Granny
Smith,,491,,116,,135,,510,
Lawlers,,353,,138,,271,,486,
Henty
(14),,92,,28,,-64,,0,
Osborne,,45,,53,,27,,19,
AFRICA,,,,,,,,,
Bulyanhulu,,"11,977",,270,,"-1,387",,"10,320",
North
Mara,,"3,031",,266,,184,,"2,949",
Buzwagi,,"3,284",,216,,333,,"3,401",
Tulawaka
(70%),,80,,70,,83,,93,
OTHER,,252,,75,,-37,,140,
TOTAL,,"138,506",,"9,012",,"10,257",,"139,751",
