column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8
,,Year ended,,Year ended,,,
,,"December 31, 2009",,"December 31, 2008",,,
Tons mined
(000’s),,"30,395",,"27,245",,,
Tons of ore
processed (000’s),,"25,313",,"25,203",,,
Average grade
processed (ounces per ton),,0.048,,0.055,,,
Ounces of gold
produced (000’s),,"1,007",,"1,175",,,
Average total
cash costs per ounce (1),,$,138,,$,125,
