column_1,column_2,column_3,column_4,column_5,column_6
Kalgoorlie,,84.3%,,0.026
- 0.073,
Cowal,,79.4%,,0.010
- 0.015,
Plutonic,,89.4%,,0.114
- 0.198,
Kanowna,,91.1%,,0.026
- 0.184,
Darlot,,95.0%,,0.070
- 0.108,
Granny Smith,,90.9%,,0.112
- 0.156,
Lawlers,,95.0%,,0.069
- 0.100,
Osborne,,75.4%,,0.018
- 0.035,
Bulyanhulu,,93.5%,,0.187
- 0.235,
North Mara,,87.0%,,0.031
- 0.040,
Buzwagi,,92.0%,,0.016
- 0.017,
Tulawaka,,93.0%,,0.102
- 0.142,
