column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20
,,PROVEN,,PROBABLE,,TOTAL,,,,,,,,,,,,,
,,Tons,,Grade(8),,Contained lbs(9),,Tons,,Grade(8),,Contained lbs(9),,Tons,,Grade(8),,Contained lbs(9),
Based on attributable pounds,,(000’s),,(%),,(millions),,(000’s),,(%),,(millions),,(000’s),,(%),,(millions),
Zaldívar,,"353,638",,0.538,,"3,803",,"222,113",,0.502,,"2,229",,"575,751",,0.524,,"6,032",
Osborne,,680,,1.765,,24,,133,,2.632,,7,,813,,1.907,,31,
TOTAL,,"354,318",,0.540,,"3,827",,"222,246",,0.503,,"2,236",,"576,564",,0.526,,"6,063",
