column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8
,,Year ended,,Year ended,,,
,,"December 31, 2009",,"December 31, 2008",,,
Tons mined
(000’s),,"99,793",,"93,544",,,
Tons of ore
processed (000’s),,"31,127",,"23,408",,,
Average grade
processed (ounces per ton),,0.034,,0.025,,,
Ounces of gold
produced (000’s),,611,,536,,,
Average total
cash costs per ounce (1),,$,438,,$,496,
