column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8
,,"Year ended
December 31, 2009",,"Year ended
December 31, 2008",,,
Tons mined
(000’s),,"131,854",,"127,905",,,
Tons of ore
processed (000’s),,"9,390",,"11,550",,,
Average grade
processed (ounces per ton),,0.172,,0.175,,,
Recovery rate
(%),,83.7,,84.3,,,
Ounces of gold
produced (000’s),,"1,355",,"1,706",,,
Average total
cash costs per ounce (1),,$,464,,$,452,
