column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10
Copper,,Mineral Reserves,,Processed in,,Increase,,Mineral Reserves,
Property (million pounds) (9),,12/31/2008(6),,2009,,(decrease),,12/31/2009(4),
Zaldivar,,"6,294",,570,,308,,"6,032",
Osbone,,98,,105,,38,,31,
TOTAL,,"6,392",,675,,346,,"6,063",
