column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8
Fees
(amount in millions),,2009,,2008,,,
Audit Fees (1),,$,7.4,,$,7.9,
Audit-Related
Fees (2),,4.3,,0.4,,,
Tax compliance
and advisory fees,,0.9,,1.0,,,
All Other
Fees(3),,0.1,,0.1,,,
Total,,$,12.7,,$,9.4,
