column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20
,,For the years ended December 31,,,,,,,,,,,,,,,,,
,,Gold,,Copper,,,,,,,,,,,,,,,
"($ millions, except per ounce/pound data in dollars)",,2009,,2008,,2007,,2009,,2008,,2007,,,,,,,
Sales,,$,"7,135",,$,"6,577",,$,"4,949",,$,943,,$,"1,007",,$,"1,065",
Sales applicable
to discontinued operations,,56,,79,,78,,212,,221,,240,,,,,,,
Sales applicable
to non-controlling interests,,(27,),(56,),(38,),—,,—,,—,,,,,,,
Unrealized
non-hedge gold/copper derivative (gains) losses,,—,,2,,(2,),49,,(23,),(26,),,,,,,
Unrealized
mark-to-market provisional price adjustments,,—,,(1,),(2,),(4,),38,,10,,,,,,,
Export duties,,30,,23,,15,,—,,—,,—,,,,,,,
Sales — as
adjusted,,$,"7,194",,$,"6,624",,$,"5,000",,$,"1,200",,$,"1,243",,$,"1,289",
Ounces/pounds
sold (000s),,"7,306",,"7,595",,"8,055",,380,,367,,401,,,,,,,
Realized
gold/copper price per ounce/pound,,$,985,,$,872,,$,621,,$,3.16,,$,3.39,,$,3.22,
