column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17
,,For the years ended December 31,,For the three months
ended December 31,,,,,,,,,,,,
"($ millions, except per share amounts in dollars)",,2009,,2008,,2007,,2009,,2008,,,,,,
Net income,,$,"(4,274",),$,785,,$,"1,119",,$,215,,$,(468,)
Elimination of
gold sales contracts,,"5,901",,—,,—,,241,,—,,,,,,
Effect of tax
rate changes,,59,,—,,—,,59,,—,,,,,,
"Impairment
charges related to goodwill, property, plant and equipment, and investments",,259,,899,,59,,102,,773,,,,,,
Gains on
acquisitions/dispositions(1),,(85,),(178,),(59,),(1,),(123,),,,,,
Foreign currency
translation (gains)/losses(2),,(95,),135,,(73,),(22,),84,,,,,,
Unrealized
(gains)/losses on non-hedge derivative instruments,,30,,20,,(10,),4,,11,,,,,,
Restructuring
costs,,15,,—,,—,,6,,—,,,,,,
Adjusted net
income,,$,"1,810",,$,"1,661",,$,"1,036",,$,604,,$,277,
Net income per
share(3),,(4.73,),0.90,,1.29,,0.22,,(0.54,),,,,,
Adjusted net
income per share(3),,$,2.00,,$,1.90,,$,1.19,,$,0.61,,$,0.32,
