column_1,column_2,column_3,column_4,column_5
Name (age) and municipality of
residence,,Office
(date became an Officer),,Principal occupations during past 5
years
"Igor Gonzales (55)
La Molina, Lima, Peru",,"President,
South America (2004)",,"President,
South America of the Company; prior to September 2005, Vice President,
Peru of the Company."
"Gary
Halverson (51)
Perth, Australia",,"President,
Australia-Pacific (2009)",,"President,
Australia-Pacific of the Company; prior to December 2008, Director of
Operations Eastern Region Australia Pacific; prior to August 2006,
General Manager Cortez, Placer Dome Nevada USA."
"Greg Hawkins (41)
London, England",,"President
and Chief Executive Officer, African Barrick Gold (2010)",,"President
and Chief Executive Officer, African Barrick Gold; prior to March 2010,
Chief Financial Officer, Australia-Pacific RBU of the Company; prior to
June 2006, Manager, Reporting & Analysis, Australia/Africa RBU
of the Company."
