column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17
,,For the
years ended December 31,,For the
three months
ended December 31,,,,,,,,,,,,
"($ millions, except per ounce/pound data in dollars)",,2009,,2008,,2007,,2009,,2008,,,,,,
Ounces gold sold
— equity basis (000s),,"7,306",,"7,595",,"8,055",,"1,823",,"2,190",,,,,,
Total cash costs
per ounce — equity basis,,$,466,,$,443,,$,345,,$,474,,$,471,
Revenues from
copper sales,,$,943,,$,"1,007",,$,"1,065",,$,398,,$,321,
Revenues from
copper sales at discontinued
operations,,212,,221,,240,,—,,—,,,,,,
Unrealized
non-hedge gold/copper derivative (gains) losses,,49,,(23,),(26,),13,,(3,),,,,,
Unrealized
mark-to-market provisional price adjustments,,(4,),38,,10,,(4,),—,,,,,,
Net revenues
from copper excluding unrealized non-hedge gains/losses from copper contracts,,"1,200",,"1,243",,"1,289",,407,,318,,,,,,
Copper cost of
sales per consolidated statement of income,,361,,315,,232,,128,,122,,,,,,
Copper cost of
sales from discontinued operations,,83,,121,,107,,—,,—,,,,,,
Copper credits,,$,756,,$,807,,$,950,,$,279,,$,196,
Copper credits
per ounce,,103,,106,,117,,153,,89,,,,,,
Net cash costs
per ounce,,$,363,,$,337,,$,228,,$,321,,$,382,
