column_1,column_2,column_3,column_4,column_5,column_6
,,Metallurgical,,,
,,Recovery,,Cut-off Grade,
Gold Mine,,(%),,(oz/ton),
Goldstrike
Property,,,,,
Open Pit,,82.1%,,0.050
- 0.070,
Underground,,89.3%,,0.177
- 0.225,
Pueblo Viejo,,92.3%,,0.033
- 0.125,
Cortez,,80.4%,,0.004
- 0.214,
Bald Mountain,,72.5%,,0.009
- 0.012,
Turquoise
Ridge,,92.0%,,0.290
- 0.372,
Round
Mountain,,75.3%,,0.006
- 0.046,
South
Arturo,,70.0%,,0.006
- 0.042,
Ruby Hill,,75.0%,,0.005
- 0.082,
Hemlo
Property,,,,,
David Bell,,94.9%,,0.149
- 0.195,
Williams,,94.9%,,0.023
- 0.109,
Marigold,,73.1%,,0.007,
Golden
Sunlight,,77.5%,,0.018
- 0.022,
Cerro
Casale,,70.2%,,0.007
- 0.012,
Pascua-Lama,,86.0%,,0.025
- 0.094,
Veladero,,75.1%,,0.007
- 0.009,
Lagunas
Norte,,68.5%,,0.008
- 0.025,
Pierina,,81.4%,,0.008
- 0.010,
Porgera,,86.7%,,0.033
- 0.102,
