column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8
,,Tons,,Grade,,Contained
Ounces,
Property,,(000’s),,(oz/ton),,(000’s),
Tulawaka,,400,,0.095,,38,
North
Mara,,"5,248",,0.053,,278,
Cowal,,"12,759",,0.023,,289,
Kalgoorlie,,"14,454",,0.031,,451,
Porgera,,"28,880",,0.072,,"2,065",
Goldstrike
Open Pit,,"33,628",,0.094,,"3,172",
