column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8
,,"Year ended
December 31, 2009",,"Year ended
December 31, 2008",,,
Tonnes mined
(000’s),,"38,052",,"45,534",,,
Tonnes of ore
processed (000’s),,"5,682",,"6,334",,,
Average grade
processed (ounces per tonne),,0.110,,0.116,,,
Ounces of gold
produced (000’s),,551,,627,,,
Average total
cash costs per ounce (1),,$,515,,$,417,
