column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20
,,For the years ended December 31,,,,,,,,,,,,,,,,,
"($ millions, except per ounce/pound information
in",,Gold,,Copper,,,,,,,,,,,,,,,
dollars),,2009,,2008,,2007,,2009,,2008,,2007,,,,,,,
Cost of sales,,$,"3,407",,$,"3,377",,$,"2,766",,$,361,,$,315,,$,232,
Cost of sales
applicable to discontinued operations,,24,,49,,30,,83,,121,,107,,,,,,,
Cost of sales
applicable to non-controlling interests(1),,(12,),(14,),(15,),—,,—,,—,,,,,,,
Unrealized
non-hedge gains/(losses) on currency and commodity contracts,,7,,(14,),(5,),—,,—,,—,,,,,,,
Inventory
purchase accounting adjustments,,—,,(16,),—,,—,,—,,(9,),,,,,,
Impact of
Barrick Energy,,(20,),(14,),—,,—,,—,,—,,,,,,,
Total cash costs,,$,"3,406",,$,"3,368",,$,"2,776",,$,444,,$,436,,$,330,
Ounces/pounds
sold - consolidated basis (000s),,"7,334",,"7,658",,"8,108",,380,,367,,401,,,,,,,
Ounces/pounds
sold(1) - non-controlling interest (000s),,(28,),(63,),(53,),—,,,,—,,,,,,,
Ounces/pounds
sold - equity basis (000s),,"7,306",,"7,595",,"8,055",,380,,367,,401,,,,,,,
Total cash costs
per ounce/per pound,,$,466,,$,443,,$,345,,$,1.17,,$,1.19,,$,0.82,
