column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22
,,MEASURED (M),,INDICATED (I),,(M) + (I),,INFERRED,,,,,,,,,,,,,
"As at December 31, 2009",,Tons,,Grade(8),,Contained lbs(9),,Tons,,Grade(8),,Contained lbs(9),,Contained lbs(9),,Tons,,Grade(8),,Contained lbs(9),
Based on attributable pounds,,(000’s),,(%),,(millions),,(000’s),,(%),,(millions),,(millions),,(000’s),,(%),,(millions),
Zaldívar,,"62,298",,0.411,,512,,"61,154",,0.428,,524,,"1,036",,"83,293",,0.530,,883,
Osborne,,523,,1.530,,16,,"3,856",,1.504,,116,,132,,"3,137",,1.259,,79,
Reko Diq (37.5%),,"718,521",,0.536,,"7,697",,"514,465",,0.392,,"4,034",,"11,731",,"1,192,569",,0.352,,"8,393",
TOTAL,,"781,342",,0.526,,"8,225",,"579,475",,0.403,,"4,674",,"12,899",,"1,278,999",,0.366,,"9,355",
