column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8
Copper Mines,,Ownership,,2009,,2008,
,,,,(millions of
pounds),,(millions of
pounds),
"Zaldívar Mine, Chile",,100,%,302,,295,
"Osborne Mine,
Queensland, Australia (6)",,100,%,91,,75,
Company
Total,,,,393,,370,
