column_1,column_2,column_3,column_4,column_5,column_6
,,Metallurgical,,,
,,Recovery,,Cut-off Grade,
Copper Mine,,(%),,(%),
Zaldívar,,67.8%,,0.21,
Osborne,,90.4%,,0.6
– 1.2,
