column_1,column_2,column_3,column_4,column_5
Name (age) and municipality of
residence,,Office
(date became an Officer),,Principal occupations during past 5
years
"Kelvin
Dushnisky (46)
Toronto,
Ontario
Canada",,"Executive
Vice President, Corporate Affairs (2007)",,"Executive
Vice President, Corporate Affairs of the Company; prior to
December 2007, Senior Vice President, Corporate Affairs of the Company;
prior to September 2005, Vice President, Regulatory Affairs of the
Company."
"Patrick J. Garver (58)
Toronto, Ontario
Canada",,Executive
Vice President and General Counsel (1993),,Executive
Vice President and General Counsel of the Company.
"Peter J. Kinver (54)
Toronto, Ontario
Canada",,Executive
Vice President and Chief Operating Officer (2003),,Executive
Vice President and Chief Operating Officer of the Company.
"Jamie C. Sokalsky (52)
Toronto, Ontario
Canada",,Executive
Vice President and Chief Financial Officer (1993),,Executive Vice President and Chief Financial
Officer of the Company.
"Vincent Borg (53)
Toronto, Ontario
Canada",,"Executive
Vice President, Corporate Communications (2009)",,"Executive
Vice President, Corporate Communications of the Company; prior to
January 2009, Senior Vice President, Corporate Communications of the
Company; prior to February 2006, Vice President, Corporate
Communications of the Company."
"George Potter (53)
Oakville, Ontario
Canada",,"Senior
Vice President, Capital Projects (2008)",,"Senior
Vice President, Capital Projects; prior to May 2006, Vice President
Technical Services and Projects of the Company."
"Gregory A. Lang (55) Sandy, Utah U.S.A.",,"President,
North America (2001)",,"President,
North America of the Company; prior to September 2005, Vice President
North America Operations of the Company."
