column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8
,,Year ended,,Year ended,,,
,,"December 31, 2009",,"December 31, 2008 (2)",,,
Tons mined
(000’s),,"121,543",,"113,468",,,
Tons of ore
processed (000’s),,"16,049",,"40,038",,,
Average grade
processed (ounces per ton),,0.038,,0.018,,,
Ounces of gold
produced (000’s),,510,,428,,,
Average total
cash costs per ounce (1),,$,510,,$,589,
